imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt0003131,Maudite soit la guerre,Maudite soit la guerre,1914,1914-05-01,"Drama, War",50,Belgium,French,Alfred Machin,Alfred Machin,Belge Cinéma Film,"Baert, Suzanne Berni, Fernand Crommelynck, Nadia D'Angely, Henri Goidsen, Albert Hendrickx, Maurice Auzat, Renée Bailly, Georges Etienne, Zizi Festerat, Lucien Mussière, Réginald, Jane Tony","An army pilot is on a visit at the home of another army pilot in the neighboured country. He falls in love with his sister. After the outbreak of a war between the two countries, her ...",6.5,124,,,,,2.0,2.0
tt0003165,Le mort qui tue,Le mort qui tue,1913,1913-11-06,"Crime, Drama, Mystery",90,France,French,Louis Feuillade,"Marcel Allain, Louis Feuillade",Société des Etablissements L. Gaumont,"René Navarre, Edmund Breon, Georges Melchior, André Luguet, Luitz-Morat, Naudier, Armand Dutertre, Renée Carl, Fabienne Fabrèges, Jane Faber, Marie Dorly, Édouard Mathé","After a body disappears from inside the prison, a series of crimes take place, all seemingly by the dead man. With Juve presumed dead, Fandor must investigate alone. Will Fantomas finally be brought to justice?",7.0,1050,,,,,6.0,18.0
tt0003167,Amore di madre,"Home, Sweet Home",1914,1914-05-17,Drama,55,USA,English,D.W. Griffith,"D.W. Griffith, H.E. Aitken",Majestic Motion Picture Company,"Henry B. Walthall, Josephine Crowell, Lillian Gish, Dorothy Gish, Fay Tincher, Mae Marsh, Spottiswoode Aitken, Robert Harron, Miriam Cooper, Mary Alden, Donald Crisp, James Kirkwood, Jack Pickford, Fred Burns, Courtenay Foote","John Howard Payne at his most miserable point in life, writes a song which becomes popular and inspires other people at some point in their lives.",5.8,187,,,,,6.0,
tt0003419,Lo studente di Praga,Der Student von Prag,1913,1913-08-22,"Drama, Fantasy, Horror",85,Germany,"German, English","Paul Wegener, Stellan Rye","Hanns Heinz Ewers, Hanns Heinz Ewers",Deutsche Bioscop GmbH,"Paul Wegener, Grete Berger, Lyda Salmonova, John Gottowt, Lothar Körner, Fritz Weidemann","Balduin, a student of Prague, leaves his roystering companions in the beer garden, when he finds he has reached the end of his resources. He is scarcely seated in a quiet corner when a ...",6.5,1768,,,,,20.0,26.0
tt0003471,Traffic in Souls,Traffic in Souls,1913,1913-11-24,"Crime, Drama",88,USA,English,George Loane Tucker,,Independent Moving Pictures Co. of America (IMP),"Jane Gail, Ethel Grandin, William H. Turner, Matt Moore, William Welsh, Millie Liston, Irene Wallace, William Cavanaugh, Arthur Hunter, Howard Crampton, W.H. Bainbridge, Luray Huntley, William Powers, Jack Poulton, Edward Boring","A woman, with the aid of her police officer sweetheart, endeavors to uncover the prostitution ring that has kidnapped her sister, and the philanthropist who secretly runs it.",6.0,552,$ 5700,,,,14.0,11.0
tt0003489,Gli ultimi giorni di Pompei,Gli ultimi giorni di Pompei,1913,1913-08-24,"Adventure, Drama",88,Italy,Italian,"Mario Caserini, Eleuterio Rodolfi","Edward George Bulwer-Lytton, Mario Caserini",Società Anonima Ambrosio,"Fernanda Negri Pouget, Eugenia Tettoni Fior, Ubaldo Stefani, Antonio Grisanti, Cesare Gani Carini, Vitale Di Stefano, Maria Brioschi, Carlo Campogalliani, Ersilia Scalpellini, Ercole Vaser, Cesare Zocchi",Two love triangles intersect in ancient Pompei.,6.2,474,,,,,13.0,7.0
tt0003637,Assunta Spina,Assunta Spina,1915,1916-05-01,Drama,72,Italy,,"Francesca Bertini, Gustavo Serena","Salvatore Di Giacomo, Francesca Bertini",Caesar Film,"Francesca Bertini, Gustavo Serena, Carlo Benetti, Luciano Albertini, Amelia Cipriani, Antonio Cruichi, Alberto Collo, Alberto Albertini",Assunta Spina is a tragedy set in Naples at the beginning of the twentieth century. Assunta and Michele are in love but others come between them and there is much jealousy. They fight and ...,6.4,378,,,,,7.0,2.0
tt0003643,The Avenging Conscience: or 'Thou Shalt Not Kill',The Avenging Conscience: or 'Thou Shalt Not Kill',1914,1914-08-24,"Crime, Drama, Horror",78,USA,English,D.W. Griffith,"Edgar Allan Poe, D.W. Griffith",Majestic Motion Picture Company,"Henry B. Walthall, Spottiswoode Aitken, Blanche Sweet, George Siegmann, Ralph Lewis, Mae Marsh, Robert Harron, George Beranger","Prevented from dating his sweetheart by his uncle, a young man turns his thoughts to murder.",6.4,1105,,,,,14.0,11.0
tt0003657,The Bargain,The Bargain,1914,1914-12-03,Western,70,USA,English,Reginald Barker,"William H. Clifford, Thomas H. Ince",New York Motion Picture,"William S. Hart, J. Frank Burke, Clara Williams, J. Barney Sherry, Joseph J. Dowling","After the bandit Jim Stokes robs the stage he is wounded fleeing. Recuperating at a ranch, he falls in love with and marries the daughter. Now wishing to go straight he tries to return the ...",6.5,144,,,,,8.0,3.0
tt0003740,Cabiria,Cabiria,1914,1914-04-18,"Adventure, Drama, History",148,Italy,Italian,Giovanni Pastrone,"Gabriele D'Annunzio, Titus Livius",Itala Film,"Carolina Catena, Lidia Quaranta, Gina Marangoni, Dante Testa, Umberto Mozzato, Bartolomeo Pagano, Raffaele di Napoli, Emilio Vardannes, Edoardo Davesnes, Italia Almirante-Manzini, Alex Bernard, Luigi Chellini, Vitale Di Stefano, Enrico Gemelli, Ignazio Lupi","Cabiria is a Roman child when her home is destroyed by a volcano. Sold in Carthage to be sacrificed in a temple, is saved by Fulvio, a Roman spy. But danger lurks, and hatred between Rome and Carthage can only lead to war.",7.1,3073,$ 210000,,,,31.0,26.0
tt0003772,Cinderella,Cinderella,1914,1914-12-28,"Fantasy, Drama",52,USA,English,James Kirkwood,Charles Perrault,Famous Players Film Company,"Mary Pickford, Owen Moore, Isabel Vernon, Georgia Wilson, Lucille Carney, W.N. Cone, Inez Ranous","Though mistreated by her cruel stepmother and stepsisters, Cinderella is able to attend the royal ball through the help of a fairy godmother.",6.0,929,,,,,10.0,3.0
tt0003883,L'enfant de Paris,L'enfant de Paris,1913,1913-09-17,"Crime, Drama",124,France,French,Léonce Perret,Léonce Perret,Société des Etablissements L. Gaumont,"Léonce Perret, Louis Leubas, Maurice Lagrenée, Émile Keppens, Marc Gérard, Henri Duval, Marie Dorly, Suzanne Le Bret, Jeanne Marie-Laurent, Adrien Petit, Suzanne Privat","The young daughter of an army captain missing in action runs away from school and is kidnapped by Parisian lowlifes. When the kidnapper flees to Nice with the child, the kind-hearted employee of one of his accomplices sets off in pursuit.",7.5,303,,,,,7.0,4.0
tt0003930,Fantômas contre Fantômas,Fantômas contre Fantômas,1914,1914-01-10,"Crime, Drama",59,France,French,Louis Feuillade,"Marcel Allain, Louis Feuillade",Société des Etablissements L. Gaumont,"René Navarre, Georges Melchior, Laurent Morléas, Renée Carl, Jane Faber, Yvette Andréyor, Edmund Breon, Naudier","The mystery of the drama is the appearance of the finger-print of a dead artist upon the neck of Princess Sonia Danidoff, whom Fantomas, as Nanteuil, relieves of her pearl necklace, and ...",6.9,1161,,,,,5.0,18.0
tt0003973,A Florida Enchantment,A Florida Enchantment,1914,1916-09-04,Comedy,63,USA,English,Sidney Drew,"Marguerite Bertsch, Archibald Clavering Gunter",Vitagraph Company of America,"Sidney Drew, Edith Storey, Charles Kent, Mrs. Sidney Drew, Ada Gifford, Ethel Lloyd, Lillian Burns, Grace Stevens, Allan Campbell, Cortland Van Deusen, Frank O'Neil","A young woman discovers a seed that can make women act like men and men act like women. She decides to take one, then slips one to her maid and another to her fiancé. The fun begins.",5.8,202,,,,,6.0,3.0
tt0004026,Der Golem,Der Golem,1915,1915-04-08,Horror,60,Germany,German,"Henrik Galeen, Paul Wegener","Henrik Galeen, Paul Wegener",Deutsche Bioscop GmbH,"Paul Wegener, Henrik Galeen, Lyda Salmonova, Rudolf Blümner, Robert A. Dietrich, Carl Ebert, Jakob Tiedtke","In this version of the golem legend, the golem, a clay statue brought to life by Rabbi Loew in 16th century Prague to save the Jews from the ongoing brutal persecution by the city's rulers,...",6.8,1040,,,,,5.0,
tt0004066,Det hemmelighedsfulde X,Det hemmelighedsfulde X,1914,1914-03-23,"Drama, Mystery",84,Denmark,Danish,Benjamin Christensen,"Benjamin Christensen, Laurids Skands",Dansk Biograf Compagni,"Benjamin Christensen, Karen Caspersen, Otto Reinwald, Fritz Lamprecht, Amanda Lund, Hermann Spiro, Bjørn Spiro, Holger Bjerre, Otto Lagoni, Charles Løwaas, Holger Rasmussen, Svend Rindom, Robert Schmidt, Finn Wennerwald","On the brink of war, Lt. van Hauen is summoned to take command of the cruiser, but due to unforeseen events, he is wrongfully convicted as a traitor.",7.0,503,,,,,7.0,4.0
tt0004099,"His Majesty, the Scarecrow of Oz","His Majesty, the Scarecrow of Oz",1914,1914-10-14,"Family, Fantasy, Adventure",59,USA,English,J. Farrell MacDonald,"L. Frank Baum, L. Frank Baum",The Oz Film Manufacturing Company,"Violet MacMillan, Frank Moore, Pierre Couderc, Fred Woodward, Raymond Russell, Arthur Smollet, J. Charles Haydon, Todd Wright, Vivian Reed, Mai Wells, Mildred Harris, Louise Emmons, Jacqueline Lovell","A wicked king has taken over the Emerald City, and wants his daughter, Princess Gloria, to marry the horrid courtier Googly-Goo, though she loves Pon, the Gardener's Boy. The camera now ...",5.2,415,$ 23500,,,,11.0,7.0
tt0004134,Hypocrites,Hypocrites,1915,1915-01-20,Drama,54,USA,English,Lois Weber,Lois Weber,Hobart Bosworth Productions,"Courtenay Foote, Myrtle Stedman, Herbert Standing, Adele Farrington","The parallel stories of a modern preacher and a medieval monk, Gabriel the Ascetic, who is killed by an ignorant mob for making a nude statue representing Truth, which is also represented by a ghostly naked girl who flits throughout the film.",6.6,456,,,,,41.0,9.0
tt0004150,In the Land of the Head Hunters,In the Land of the Head Hunters,1914,1914-12-07,"Drama, History",65,"USA, Canada",English,Edward S. Curtis,Edward S. Curtis,Seattle Film Co.,"Stanley Hunt, Sarah Constance Smith Hunt, Mrs. George Walkus, Paddy 'Malid, Balutsa, Kwagwanu, Francine Hunt, Bob Wilson, Awidi, Alfred Charlie","In 1911, as part of his massive undertaking, famed Northwest photographer Edward S. Curtis travelled to Vancouver Island, British Columbia, to visit the Kwakwaka'wakw. By the next year, ...",5.8,402,,,,,8.0,11.0
tt0004181,Judith of Bethulia,Judith of Bethulia,1914,1914-03-08,Drama,61,USA,English,D.W. Griffith,"Thomas Bailey Aldrich, D.W. Griffith",Biograph Company,"Blanche Sweet, Henry B. Walthall, Mae Marsh, Robert Harron, Kate Bruce, Lillian Gish, J. Jiquel Lanoe, Gertrude Bambrick, Dorothy Gish, Harry Carey","A religious woman seeks to save her people from destruction by seducing and murdering the enemy leader, but her plans get complicated once she falls for him.",6.1,1239,$ 40000,,,,16.0,9.0
tt0004457,The Patchwork Girl of Oz,The Patchwork Girl of Oz,1914,1914-09-28,"Adventure, Family, Fantasy",81,USA,English,J. Farrell MacDonald,"L. Frank Baum, L. Frank Baum",The Oz Film Manufacturing Company,"Violet MacMillan, Frank Moore, Raymond Russell, Leontine Dranet, Bobbie Gould, Marie Wayne, Richard Rosson, Frank Bristol, Fred Woodward, Todd Wright, Bert Glennon, Hal Roach, Dave Anderson, Jessie May Walsh, William Cook","Ojo and Unc Nunkie are out of food, so they decide to journey to the Emerald City where they will never starve. Along the way, they meet Mewel, a waif and stray (mule) who leads them to Dr....",5.5,382,,,,,16.0,5.0
tt0004465,The Perils of Pauline,The Perils of Pauline,1914,1914-03-23,"Action, Adventure, Drama",199,USA,English,"Louis J. Gasnier, Donald MacKenzie","Charles W. Goddard, Basil Dickey",Pathé Frères,"Pearl White, Crane Wilbur, Paul Panzer, Edward José, Francis Carlyle, Clifford Bruce, Donald MacKenzie, Jack Standing, Eleanor Woodruff, Leroy Baker, Louise Du Pre, Oscar Nye, Sam J. Ryan, Louis J. Gasnier, Joe Cuny","Young Pauline is left a lot of money when her wealthy uncle dies. However, her uncle's secretary has been named as her guardian until she marries, at which time she will officially take ...",6.3,939,$ 25000,,,,5.0,8.0
tt0004635,The Squaw Man,The Squaw Man,1914,1914-02-15,"Action, Drama, Romance",74,USA,English,"Oscar Apfel, Cecil B. DeMille","Edwin Milton Royle, Cecil B. DeMille",Jesse L. Lasky Feature Play Company,"Dustin Farnum, Monroe Salisbury, Winifred Kingston, Mrs. A.W. Filson, Haidee Fuller, Red Wing, Foster Knox, Fred Montague, 'Baby' Carmen De Rue, Fernando Gálvez, Eugene De Rue, H.R. Macy, H.L. Swisher, Michael J. Kilpatrick, Sydney Deane",A chivalrous British officer takes the blame for his cousin's embezzlement and journeys to the American West to start a new life on a cattle ranch.,5.7,879,$ 20000,,,,8.0,3.0
tt0004681,La madonnina del porto,Tess of the Storm Country,1914,1914-03-30,Drama,80,USA,English,Edwin S. Porter,"Grace Miller White, B.P. Schulberg",Famous Players Film Company,"Mary Pickford, Harold Lockwood, Olive Carey, David Hartford, Louise Dunlap, William Walters, Richard Garrick, Eugene Walter, Jack Henry, H.R. Macy, H.L. Griffith","A wealthy resident attempts to dispossess squatters who live near his home, which leads to a false accusation of murder.",6.1,178,$ 10000,,,,5.0,3.0
tt0004707,Tillie's Punctured Romance,Tillie's Punctured Romance,1914,1914-12-21,Comedy,82,USA,"None, English","Mack Sennett, Charles Bennett",,Keystone Film Company,"Marie Dressler, Charles Chaplin, Mabel Normand, Mack Swain, Charles Bennett, Chester Conklin",A con man from the city dupes a wealthy country girl into marriage.,6.3,3250,$ 50000,,,,38.0,18.0
tt0004712,A tolonc,A tolonc,1915,1915-03-20,Drama,67,Hungary,Hungarian,Michael Curtiz,"Jenö Janovics, Ede Tóth",ProJa Filmgyár,"Lili Berky, Victor Varconi, Mari Jászai, Andor Szakács, Gyula Nagy, Marcsa Simon, István Szentgyörgyi, Alajos Mészáros, Kató Berky, Elemér Hetényi, Zoltán Gálosi, Endre Kertész, Fülöp Erdõs, Adorján Nagy, Mihály Fekete","Betty (Lili Berky, Duel For Nothing), a young woman living in the country, is told by her dying father that he is really her uncle and raised her as his own when her mother was sent to ...",6.3,165,,,,,1.0,9.0
tt0004743,Uncle Tom's Cabin,Uncle Tom's Cabin,1914,1914-08-10,Drama,54,USA,,William Robert Daly,"Harriet Beecher Stowe, George L. Aiken",World Film,"Sam Lucas, Walter Hitchcock, Hattie Delaro, Master Abernathy, Teresa Michelena, Irving Cummings, Paul Scardon, Marie Eline, Garfield Thompson, Roy Applegate, Boots Wall",A black and white silent film based on Harriet Beecher Stowe's novel documenting the life and times of Uncle Tom.,5.3,112,,,,,4.0,
tt0004766,The Virginian,The Virginian,1914,1914-09-07,Western,55,USA,English,Cecil B. DeMille,"Owen Wister, Kirk La Shelle",Jesse L. Lasky Feature Play Company,"Dustin Farnum, Jack W. Johnston, Sydney Deane, William Elmer, Winifred Kingston, James Griswold, Horace B. Carpenter, Tex Driscoll","A good-natured but chivalrous cowboy romances the local schoolmarm and leads the posse that brings a gang of rustlers, which includes his best friend, to justice.",5.6,174,$ 17022,,,,12.0,
tt0004825,The Wishing Ring: An Idyll of Old England,The Wishing Ring: An Idyll of Old England,1914,1914-11-09,"Comedy, Drama",54,USA,English,Maurice Tourneur,"Owen Davis, Maurice Tourneur",Shubert Film Corporation,"Vivian Martin, Alec B. Francis, Chester Barnett, Gyp Williams, Simeon Wiltsie, Walter Morton, Johnny Hines","After being expelled from college, Giles runs away from home and meets a young lady who he falls for.",6.4,242,,,,,6.0,2.0
tt0004838,The Wrath of the Gods,The Wrath of the Gods,1914,1914-06-08,"Drama, Romance",56,USA,English,Reginald Barker,"William H. Clifford, Thomas H. Ince",New York Motion Picture,"Sessue Hayakawa, Tsuru Aoki, Frank Borzage, Kisaburô Kurihara, Henry Kotani, Gladys Brockwell, Herschel Mayall",An American sailor falls in love with a fisherman's daughter and convinces her that Jesus is more powerful than the gods who have cursed her.,5.7,138,,,,,5.0,2.0
tt0004872,Alias Jimmy Valentine,Alias Jimmy Valentine,1915,1915-02-22,"Crime, Drama",65,USA,English,Maurice Tourneur,"Paul Armstrong, O. Henry",Peerless Productions,"Robert Warwick, Robert Cummings, Alec B. Francis, Frederick Truesdell, Ruth Shepley, Johnny Hines, D.J. Flanagan, Walter Craven, John Boone, George Cummings, Thomas Mott Osborne","After robbing a bank, a criminal is wrongfully pardoned from prison.",6.6,206,,,,,4.0,3.0
tt0004873,Alice in Wonderland,Alice in Wonderland,1915,1915-01-19,"Adventure, Family, Fantasy",52,USA,English,W.W. Young,"Lewis Carroll, W.W. Young",Nonpareil Feature Film Corp.,"Viola Savoy, Herbert Rice, Harry Marks, Louis Merkle, William Tilden",Alice goes with her sister to a picnic and then she falls asleep and starts dreaming about a wonderland full of talking animals and walking playing cards.,6.2,394,$ 50000,,,,11.0,8.0
tt0004972,Nascita di una nazione,The Birth of a Nation,1915,1915-03-21,"Drama, History, War",195,USA,None,D.W. Griffith,"Thomas Dixon Jr., Thomas Dixon Jr.",David W. Griffith Corp.,"Henry B. Walthall, Lillian Gish, Mae Marsh, Miriam Cooper, Mary Alden, Ralph Lewis, George Siegmann, Walter Long, Robert Harron, Wallace Reid, Joseph Henabery, Elmer Clifton, Josephine Crowell, Spottiswoode Aitken, George Beranger","The Stoneman family finds its friendship with the Camerons affected by the Civil War, both fighting in opposite armies. The development of the war in their lives plays through to Lincoln's assassination and the birth of the Ku Klux Klan.",6.3,22213,$ 100000,,,,368.0,97.0
tt0005060,Carmen,Carmen,1915,1915-10-31,Drama,59,USA,English,Cecil B. DeMille,"Prosper Mérimée, William C. de Mille",Jesse L. Lasky Feature Play Company,"Geraldine Farrar, Wallace Reid, Pedro de Cordoba, Horace B. Carpenter, William Elmer, Jeanie Macpherson, Anita King, Milton Brown, Tex Driscoll","In order to help her smuggler kinsmen, a sultry gypsy seduces and corrupts an officer of the Civil Guard turning him into a traitor and murderer.",6.4,894,$ 23430,,,,20.0,8.0
tt0005078,The Cheat,The Cheat,1915,1915-12-13,"Drama, Romance",59,USA,English,Cecil B. DeMille,"Hector Turnbull, Jeanie Macpherson",Jesse L. Lasky Feature Play Company,"Fannie Ward, Sessue Hayakawa, Jack Dean, James Neill, Yutaka Abe, Dana Ong, Hazel Childers, Arthur H. Williams","A venal, spoiled stockbroker's wife impulsively embezzles $10,000 from the charity she chairs and desperately turns to a Burmese ivory trader to replace the stolen money.",6.6,2305,$ 17311,,,,38.0,19.0
tt0005149,The Coward,The Coward,1915,1915-11-14,"Drama, History, War",77,USA,English,"Reginald Barker, Thomas H. Ince","Thomas H. Ince, Thomas H. Ince",Kay-Bee Pictures,"Frank Keenan, Charles Ray, Gertrude Claire, Patricia Palmer, Nick Cogley, Charles K. French, Minnie Devereaux","Colonel Winslow, veteran of the Mexican War, hopes for a great future for his only son, Frank. At the outbreak of the Civil War, a recruiting station is opened in the Virginia village where...",6.0,244,$ 18000,,,,15.0,3.0
tt0005339,La vampira,A Fool There Was,1915,1915-01-12,Drama,67,USA,English,Frank Powell,"Porter Emerson Browne, Roy L. McCardell",Fox Film Corporation,"Runa Hodges, Mabel Frenyear, Edward José, May Allison, Clifford Bruce, Theda Bara, Victor Benoit, Frank Powell, Minna Gale, Creighton Hale",A married diplomat falls hopelessly under the spell of a predatory woman.,5.8,783,,,,,20.0,14.0
tt0005402,The Golden Chance,The Golden Chance,1915,1915-12-30,Drama,74,USA,English,Cecil B. DeMille,"Cecil B. DeMille, Jeanie Macpherson",Jesse L. Lasky Feature Play Company,"Cleo Ridgely, Wallace Reid, Horace B. Carpenter, Ernest Joy, Edythe Chapman, Raymond Hatton, William Elmer, Mrs. Lewis McCord",Mary Denby becomes a seamstress after her husband Steve wastes their money on booze. Her employer provides her as an escort to accompany millionaire Roger Manning. Her husband tries ...,6.4,187,$ 18711,,,,10.0,1.0
